Şarap,Ülke,Fiyat,AlkolOran
Pellehaut Kırmızı Şarap,Fransa,1193.33,11.5
Finca Las Zarras Kırmızı Şarap,İspanya,646.67,11.0
Ed Knows Cabernet Sauvignon Kırmızı Sek Şarap,Moldova,613.2,13.0
El Paso Kırmızı Şarap,İspanya,700.0,13.5
Tersus Cabernet Sauvignon Kırmızı Şarap,Moldova,686.67,12.5
Chateau Argadens Kırmızı Şarap,Fransa,1399.87,14.0
Piccini Pinocchio Kırmızı Yarı Tatlı Şarap,İtalya,1366.67,13.0
Sevilen İsabey Cabernet Sauvignon Merlot,Türkiye,1006.67,13.5
Doluca Sarafin Fume Blanc,Türkiye,2753.33,13.0
Piccini Prosecco Doğal Köpüren Beyaz Şarap,İtalya,2653.33,11.0
Cavioli Pinot Chardonnay Köpüklü Şarap,İtalya,726.67,10.5
Urla Boğazkere Kırmızı Şarap,Türkiye,2586.67,13.0
Melen Öküzgözü,Türkiye,629.33,14.0
Kavaklıdere Ancyra Merlot,Türkiye,1060.0,14.5
Remole Toscana Kırmızı Şarap,İtalya,1519.87,12.5
Dugladze Saperavi Ovevri Kırmız Sek Şarap,Gürcistan,1473.33,13.0
Frescobaldi Nippozzano Riserva Kırmızı Şarap,İtalya,3013.2,13.5
Clarendelle Kırmızı Şarap,Fransa,2600.0,13.0
Les Combes Cotes Du Phone Kırmızı Şarap,Fransa,1286.67,14.0
Lamberti Merlot İtalya Kırmızı,İtalya,980.0,12.0
Doluca DLC Shiraz Kırmızı Şarap,Türkiye,1119.87,14.5
Doluca DLC C. Sauvignon Merlot,Türkiye,1153.33,14.5
Suvla Kabatepe Kırmızı Şarap,Türkiye,798.87,13.0
Diren Maya Syrah & Ökügözü Kırmızı Şarap,Türkiye,426.53,13.0
Kavaklıdere Leyla Kırmızı Şarap,Türkiye,466.53,13.0
Antre Cabernet Sauvignon Merlot Kırmızı Şarap,Türkiye,1330.0,14.0
Alamos Malbec Kırmızı Şarap,Arjantin,1646.67,13.0
Chandon Rose Sparkling,Arjantin,2086.67,12.0
Dr. Loosen Riesling Kabinett Blue Slate Beyaz Şarap,Almanya,2313.33,12.0
Ferrari Brut Köpüklü Şarap,İtalya,4333.33,12.5
